"biomass","temperature","taxa"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
"64614.9874402554","1","GAMM"
