"biomass","temperature","taxa"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
"63502.09241357","1","GAMM"
