"biomass","temperature","taxa"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
"65565.4550525358","1","GAMM"
