"biomass","temperature","taxa"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
"62888.098673209","1","GAMM"
